iter	Passed	Remaining
0	1	163
1	3	158
2	4	158
3	6	155
4	8	153
5	9	150
6	11	147
7	12	146
8	14	144
9	15	142
10	17	140
11	18	138
12	20	137
13	21	134
14	23	132
15	24	130
16	26	128
17	27	127
18	29	125
19	31	124
20	32	122
21	34	121
22	35	119
23	37	118
24	38	116
25	40	114
26	41	112
27	43	111
28	44	109
29	46	107
30	47	106
31	49	104
32	50	103
33	52	101
34	53	100
35	55	98
36	56	96
37	58	95
38	59	93
39	61	91
40	62	90
41	64	89
42	65	87
43	66	85
44	68	83
45	69	82
46	71	80
47	72	79
48	74	77
49	75	75
50	77	74
51	78	72
52	80	71
53	82	69
54	83	68
55	84	66
56	86	65
57	87	63
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	98	53
65	100	51
66	101	49
67	103	48
68	104	46
69	106	45
70	107	43
71	109	42
72	110	40
73	112	39
74	113	37
75	115	36
76	116	34
77	118	33
78	119	31
79	120	30
80	122	28
81	123	27
82	125	25
83	126	24
84	128	22
85	129	21
86	131	19
87	132	18
88	134	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	143	7
95	144	6
96	145	4
97	147	3
98	148	1
99	150	0
